AFG,AFGHANISTAN,South Asia-Indian Subcontinent
ALA,ALAND ISLANDS,Northern Europe
ALB,ALBANIA,"South, Central and East Europe"
DZA,ALGERIA,Middle East-North Africa
ASM,AMERICAN SAMOA,Asia Pacific
AND,ANDORRA,"South, Central and East Europe"
AGO,ANGOLA,Africa (Sub-Sahara)
AIA,ANGUILLA,Latin America-Caribbean
ATA,ANTARCTICA,Asia Pacific
ATG,ANTIGUA AND BARBUDA,Latin America-Caribbean
ARG,ARGENTINA,Latin America-Caribbean
ARM,ARMENIA,"South, Central and East Europe"
ABW,ARUBA,Latin America-Caribbean
AUS,AUSTRALIA,Asia Pacific
AUT,AUSTRIA,"South, Central and East Europe"
AZE,AZERBAIJAN,Russia-Caspian-Central Asia
BHS,BAHAMAS,Latin America-Caribbean
BHR,BAHRAIN,Middle East-North Africa
BGD,BANGLADESH,South Asia-Indian Subcontinent
BRB,BARBADOS,Latin America-Caribbean
BLR,BELARUS,Russia-Caspian-Central Asia
BEL,BELGIUM,"South, Central and East Europe"
BLZ,BELIZE,Latin America-Caribbean
BEN,BENIN,Africa (Sub-Sahara)
BMU,BERMUDA,Latin America-Caribbean
BTN,BHUTAN,South Asia-Indian Subcontinent
BOL,BOLIVIA,Latin America-Caribbean
BIH,BOSNIA AND HERZEGOVINA,"South, Central and East Europe"
BWA,BOTSWANA,Africa (Sub-Sahara)
BVT,BOUVET ISLAND,Northern Europe
BRA,BRAZIL,Latin America-Caribbean
IOT,BRITISH INDIAN OCEAN TERRITORY,South Asia-Indian Subcontinent
BRN,BRUNEI DARUSSALAM,Asia Pacific
BGR,BULGARIA,"South, Central and East Europe"
BFA,BURKINA FASO,Africa (Sub-Sahara)
BDI,BURUNDI,Africa (Sub-Sahara)
KHM,CAMBODIA,Asia Pacific
CMR,CAMEROON,Africa (Sub-Sahara)
CAN,CANADA,Canada
CPV,CAPE VERDE,Africa (Sub-Sahara)
CYM,CAYMAN ISLANDS,Latin America-Caribbean
CAF,CENTRAL AFRICAN REPUBLIC,Africa (Sub-Sahara)
TCD,CHAD,Africa (Sub-Sahara)
CHL,CHILE,Latin America-Caribbean
CHN,CHINA,Asia Pacific
CXR,CHRISTMAS ISLAND,Asia Pacific
CCK,COCOS ISLANDS,Latin America-Caribbean
COL,COLOMBIA,Latin America-Caribbean
COM,COMOROS,Africa (Sub-Sahara)
COG,CONGO-REPUBLIC OF CONGO,Africa (Sub-Sahara)
COD,"CONGO, DEMOCRATIC REPUBLIC (ZAIRE)",Africa (Sub-Sahara)
COK,COOK ISLANDS,Asia Pacific
CRI,COSTA RICA,Latin America-Caribbean
CIV,CÔTE D'IVOIRE,Africa (Sub-Sahara)
HRV,CROATIA,"South, Central and East Europe"
CUB,CUBA,Latin America-Caribbean
CYP,CYPRUS,"South, Central and East Europe"
CZE,CZECH REPUBLIC,"South, Central and East Europe"
DNK,DENMARK,Northern Europe
DJI,DJIBOUTI,Middle East-North Africa
DMA,DOMINICA ,Latin America-Caribbean
DOM,DOMINICAN REPUBLIC,Latin America-Caribbean
TLS,EAST TIMOR,Asia Pacific
ECU,ECUADOR,Latin America-Caribbean
EGY,EGYPT,Middle East-North Africa
